state_id,name,abb,parent_id
1,US,US,
2,Alabama,AL,
3,Alaska,AK,
4,Arizona,AZ,
5,Arkansas,AR,
6,California,CA,
7,Colorado,CO,
8,Connecticut,CT,
9,Delaware,DE,
10,District of Columbia,DC,
11,Florida,FL,
12,Georgia,GA,
13,Gulf of Mexico,GM,
14,Hawaii,HI,
15,Idaho,ID,
16,Illinois,IL,
17,Indiana,IN,
18,Iowa,IA,
19,Kansas,KS,
20,Kentucky,KY,
21,Louisiana,LA,
22,Maine,ME,
23,Maryland,MD,
24,Massachusetts,MA,
25,Michigan,MI,
26,Minnesota,MN,
27,Mississippi,MS,
28,Missouri,MO,
29,Montana,MT,
30,Nebraska,NE,
31,Nevada,NV,
32,New Hampshire,NH,
33,New Jersey,NJ,
34,New Mexico,NM,
35,New York,NY,
36,North Carolina,NC,
37,North Dakota,ND,
38,Ohio,OH,
39,Oklahoma,OK,
40,Oregon,OR,
41,Pennsylvania,PA,
42,Rhode Island,RI,
43,South Carolina,SC,
44,South Dakota,SD,
45,Tennessee,TN,
46,Texas,TX,
47,Utah,UT,
48,Vermont,VT,
49,Virginia,VA,
50,Washington,WA,
51,West Virginia,WV,
52,Wisconsin,WI,
53,Wyoming,WY,
